ID(非必填),縣市(必填),鄉鎮(必填),村里(可不填),鄰(可不填),地址(必填)
328,嘉義縣,太保市,,,故宮大道888號
329,臺北市,中正區,,,長沙街一段二號
330,高雄市,岡山區,,,009鄰岡山南路42號
331,新竹市,東區,,,中正路65號
332,臺中市,南區,,,五權南路100號
333,嘉義縣,新港鄉,,,新中路305號
334,嘉義縣,新港鄉,,,新中路305號
335,嘉義縣,新港鄉,,,新中路305號
336,嘉義縣,新港鄉,,,新中路305號
337,嘉義縣,新港鄉,,,新中路305號
338,嘉義縣,新港鄉,,,新中路305號
339,臺北市,中山區,,,長安東路一段8-1號
340,屏東市,民生路,,,4-17號
341,高雄市,河西路,,,99號
342,高雄市,岡山區,,,公園路2-1號
343,高雄市,林園區,,,002鄰福興街97號
344,高雄市,旗山區,,,007鄰中山路1號
345,高雄市,鼓山區,,,蓮海路20號
346,高雄市,鳳山區,,,7鄰勝利路2號
347,高雄市,鳳山區,,,013鄰鳳明街62號
348,高雄市,大樹區,,,
349,高雄市,林園區,,,林園北路236號
350,高雄市,林園區,,,林園北路236號
351,民雄鄉,建國路,,,2段265號
352,高雄市,前鎮區,,,21鄰新光路61號
353,基隆市,中正區,,,信一路181號
354,基隆市,仁愛區,,,
355,桃園市,大溪區,,,中正路68號
356,桃園市,大溪區,,,普濟路17、19、21、23號
357,桃園市,大溪區,,,普濟路52號
358,桃園市,大溪區,,,9鄰月眉34號
359,臺南市,山上區,,,山上16號
360,澎湖縣,七美鄉,,,55號
361,澎湖縣,馬公市,,,中山路75號
415,臺中市,南區,,,興路三段362號
416,臺中市,南區,,,興路三段362號
417,臺中市,南區,,,興路三段362號
418,臺中市,南區,,,興路三段362號
419,高雄市,鹽埕區,,,8鄰大勇路1號
420,高雄市,鹽埕區,,,8鄰大勇路1號
421,高雄市,鹽埕區,,,8鄰大勇路1號
422,高雄市,鹽埕區,,,8鄰大勇路1號
423,臺北市,文山區,,,景文街32號
424,臺北市,文山區,,,景文街32號
425,臺北市,大同區,,,迪化街1段21號
426,臺北市,士林區,,,外雙溪至善路2段221號
427,臺北市,士林區,,,外雙溪至善路2段221號
428,臺北市,士林區,,,外雙溪至善路2段221號
429,臺北市,士林區,,,外雙溪至善路2段221號
430,臺北市,士林區,,,外雙溪至善路2段221號
431,臺北市,士林區,,,外雙溪至善路2段221號
432,臺北市,士林區,,,外雙溪至善路2段221號
433,臺北市,士林區,,,外雙溪至善路2段221號
434,臺北市,士林區,,,外雙溪至善路2段221號
385,臺北市,南港區,,,研究院路二段130號
386,臺南市,南區,,,興中街7巷18弄5號
387,臺南市,南區,,,興中街7巷18弄5號
388,臺南市,南區,,,興中街7巷18弄5號
389,臺南市,南區,,,興中街7巷18弄5號
390,臺南市,南區,,,興中街7巷18弄5號
391,臺南市,南區,,,興中街7巷18弄5號
392,臺中市,西區,,,
393,高雄市,鼓山區,,,延平街87-13號
394,臺中市,南區,,,興路三段362號
395,臺中市,南區,,,興路三段362號
396,臺中市,南區,,,興路三段362號
397,臺中市,南區,,,興路三段362號
398,臺中市,南區,,,興路三段362號
399,高雄市,三民區,,,2鄰十全一路220號
400,臺中市,南區,,,興路三段362號
401,臺中市,南區,,,興路三段362號
402,臺中市,南區,,,興路三段362號
403,臺中市,南區,,,興路三段362號
404,臺中市,南區,,,興路三段362號
405,臺中市,南區,,,興路三段362號
406,臺中市,南區,,,興路三段362號
407,臺中市,南區,,,興路三段362號
408,臺中市,南區,,,興路三段362號
409,臺中市,南區,,,興路三段362號
410,臺中市,南區,,,興路三段362號
411,臺中市,南區,,,興路三段362號
412,臺中市,南區,,,興路三段362號
413,臺中市,南區,,,興路三段362號
414,臺中市,南區,,,興路三段362號
447,臺北市,中正區,,,襄陽路25號
448,臺北市,中正區,,,南昌路一段1號
449,臺北市,中正區,,,南昌路一段1號
450,臺中市,霧峰區,,,大同路8號
451,臺中市,霧峰區,,,大同路8號
452,臺中市,霧峰區,,,大同路8號
453,高雄市,鹽埕區,,,8鄰大勇路1號
454,高雄市,鹽埕區,,,8鄰大勇路1號
455,屏東市,民生路,,,4-17號
456,高雄市,三民區,,,2鄰十全一路220號
457,高雄市,左營區,,,2鄰啟文路12號
458,高雄市,鹽埕區,,,8鄰大勇路1號
459,臺中市,大里區,,,勝利二路1號
460,高雄市,鹽埕區,,,8鄰大勇路1號
461,苗栗縣,銅鑼鄉,,,銅科南路6號
462,苗栗縣,銅鑼鄉,,,銅科南路6號
463,宜蘭縣,五結鄉,,,五濱路二段201號
464,臺中市,大里區,,,科技路1號
465,臺中市,大里區,,,科技路1號
466,,,,,
467,臺北市,中正區,,,台北市中正區中山南路21號
468,新北市,永和區,,,文化路192巷4弄2-1號
